"index"	"Unnamed: 0"	"Unnamed: 1"	"Unnamed: 2"	"区分"	"入札公告（現在募集中）"	"備考"	"落札情報（過去）"	"備考.1"
193	"海上自衛隊"	"館山航空基地隊"					"https://www.mod.go.jp/msdf/bukei/y2/keiyakukeka_main_Y2.html"	"○随意契約に係る情報の公表「公共工事」に記載（Excel）"
194	"海上自衛隊"	"館山航空基地隊"					"https://www.mod.go.jp/msdf/bukei/y2/keiyakukeka_main_Y2.html"	"○随意契約に係る情報の公表「物品役務等」に記載（Excel）"
195	"海上自衛隊"	"航空補給処"		"公募"	"https://www.mod.go.jp/msdf/bukei/zd/koubo_main_ZD.html"		"https://www.mod.go.jp/msdf/bukei/zd/keiyakukeka_main_ZD.html"	"○競争入札に係る情報の公表「公共工事」に記載（Excel）"
196	"海上自衛隊"	"航空補給処"		"一般競争"	"https://www.mod.go.jp/msdf/bukei/zd/nyusatsu.html"		"https://www.mod.go.jp/msdf/bukei/zd/kk_jiseki.html"	"令和４・５年度建設工事入札結果"
197	"海上自衛隊"	"航空補給処"		"公募"	"https://www.mod.go.jp/msdf/bukei/zd/nyusatsu_s.html"		"https://www.mod.go.jp/msdf/bukei/zd/kg_jiseki.html"	"令和４・５年度建設・コンサルタント業務入札結果"
198	"海上自衛隊"	"航空補給処"		"オープンカウンター方式"	"https://www.mod.go.jp/msdf/bukei/zd/o-punnkaunnta-ZD.html"		"https://www.mod.go.jp/msdf/bukei/zd/keiyakukeka_main_ZD.html"	"○競争入札に係る情報の公表「物品役務等」に記載（Excel）"
199	"海上自衛隊"	"航空補給処"					"https://www.mod.go.jp/msdf/bukei/zd/keiyakukeka_main_ZD.html"	"○随意契約に係る情報の公表「公共工事」に記載（Excel）"
200	"海上自衛隊"	"航空補給処"					"https://www.mod.go.jp/msdf/bukei/zd/keiyakukeka_main_ZD.html"	"○随意契約に係る情報の公表「物品役務等」に記載（Excel）"
201	"海上自衛隊"	"新潟基地分遣隊"		"公募"	"https://www.mod.go.jp/msdf/bukei/mn/koubo_main_MN.html"		"https://www.mod.go.jp/msdf/bukei/mn/keiyakukeka_main_MN.html"	"○競争入札に係る情報の公表「公共工事」に記載（Excel）"
202	"海上自衛隊"	"新潟基地分遣隊"					"https://www.mod.go.jp/msdf/bukei/mn/keiyakukeka/kk_jiseki.html"	"平成２８年度建設工事入札結果"
203	"海上自衛隊"	"新潟基地分遣隊"					"https://www.mod.go.jp/msdf/bukei/mn/keiyakukeka/kg_jiseki.html"	"平成２８年度建設・コンサルタント業務入札結果"
204	"海上自衛隊"	"新潟基地分遣隊"		"一般競争"	"https://www.mod.go.jp/msdf/bukei/mn/nyusatsu.html"		"https://www.mod.go.jp/msdf/bukei/mn/keiyakukeka_main_MN.html"	"○競争入札に係る情報の公表「物品役務等」に記載（Excel）"
